task_key,state_id,anchor_label,step,total_score,raw_crossing_bonus,close_streak_bonus,close_onset_qpos_bonus,eef_deceleration_bonus,qpos_ready_bonus,decoded_open_penalty,eef_speed_now,eef_speed_prev,disabled_features,is_close_event_candidate,qpos,close_onset
butter,2,Teacher-P,68,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.004043,0.015414,,True,-0.0015316,1
butter,2,Teacher-R,4,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.00237,0.002154,,True,-2.606e-05,1
butter,2,first_trigger,4,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.00237,0.002154,,True,-2.606e-05,1
butter,2,best_candidate,68,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.004043,0.015414,,True,-0.0015316,1
butter,1,Teacher-P,72,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.039279,0.042336,,True,-0.0001257,1
butter,1,Teacher-R,6,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.002622,0.002035,,True,-3.39e-06,1
butter,1,first_trigger,6,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.002622,0.002035,,True,-3.39e-06,1
butter,1,best_candidate,10,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.007996,0.009482,,True,-1.901e-05,1
cream_cheese,2,Teacher-P,63,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.00772,0.016192,,True,0.00193507,1
cream_cheese,2,Teacher-R,59,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.025411,0.023434,,True,-3.493e-05,1
cream_cheese,2,first_trigger,59,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.025411,0.023434,,True,-3.493e-05,1
cream_cheese,2,best_candidate,63,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.00772,0.016192,,True,0.00193507,1
cream_cheese,1,Teacher-P,54,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.026407,0.027725,,True,-8.45e-05,1
cream_cheese,1,Teacher-R,8,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.00603,0.003815,,True,-5.45e-06,1
cream_cheese,1,first_trigger,8,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.00603,0.003815,,True,-5.45e-06,1
cream_cheese,1,best_candidate,113,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.009136,0.017749,,True,-0.0018629,1
bbq_sauce,0,Teacher-P,85,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.01582,0.017023,,True,-1.429e-05,1
bbq_sauce,0,Teacher-R,52,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.002566,0.003954,,True,-1.916e-05,1
bbq_sauce,0,first_trigger,52,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.002566,0.003954,,True,-1.916e-05,1
bbq_sauce,0,best_candidate,52,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.002566,0.003954,,True,-1.916e-05,1
bbq_sauce,2,Teacher-R,49,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.020601,0.022981,,True,1.097e-05,1
bbq_sauce,2,first_trigger,49,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.020601,0.022981,,True,1.097e-05,1
bbq_sauce,2,best_candidate,75,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.003339,0.004637,,True,-5.542e-05,1
chocolate_pudding,2,Teacher-P,58,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.027703,0.028474,,True,-6.146e-05,1
chocolate_pudding,2,Teacher-R,58,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.027703,0.028474,,True,-6.146e-05,1
chocolate_pudding,2,first_trigger,58,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.027703,0.028474,,True,-6.146e-05,1
chocolate_pudding,2,best_candidate,154,3.8,1.5,1.0,0.5,0.5,0.3,0.0,0.003493,0.007552,,True,-0.0011316,1
chocolate_pudding,1,Teacher-R,12,3.3,1.5,1.0,0.5,0.0,0.3,0.0,0.019773,0.015268,,True,-7.259e-05,1
