Warning: Permanently added '10.60.133.3' (ED25519) to the list of known hosts.
Warning: Permanently added '[10.60.2.56]:33571' (ED25519) to the list of known hosts.
smoke_P2_t1_s6,1,6,P2,43,base,,6a4828ca,28038a04-31a,400,4aadc97bd46debd8c83b5e50dc5ff7bdd443340bbd1a8e8780cb15c4be77a7b9,5338928a82d95d3f543a743df0406cf34d4276836388ed67c41767d8c2dee44d,9a70953fdf969b465e6c037709ce240af286273a0f0a8161047387b3d9124781,abf2623ce98245f8cdb03ad61106a15e4d417c5cb052e2b13cc7184946223109,e28de0e84b83d32ee9f1a6373471111ea160e581d838bc1210ffdfd67abb5059
smoke_P3_t2_s7,2,7,P3,44,base,,6cc03f70,33fb89ac-ad6,400,8e954f1852abf947341502f6b31f4555afaafa786be31fa026805977cf593b66,62dd1ee0da1d059585f1846ec4d4280e8505eecd6655be005dfc6be1f2d0f01c,ff945bb8171f16ad07814ae70a48909cc716d1ecbd3e1d02640c8a98b2bba93b,e7ea17bcc84b3bb8fec23b7e1e1cd0495a847bed3c4fca1889564320e3dcb68b,55ebba94862cced455e09326b28b96db90dc3370470735b142b08888693f037f
smoke_P4_t3_s5,3,5,P4,45,base,,15e28d41,d93eb70b-141,400,e9121bf1cca8af7e8676495aa3800fa88b6e833889939112ac362904add39010,22ddaa1432c42af153988d78f9696a17aa14f85fac3b66693c5505532ae97eae,635c5647d6172008115620397c6cb8f5b4d3df7174c445608fa64eacbe6b3aad,3fbe293eb7ff85b307c4cfa666ac5637be7b164635e81e142f56fe56b53c7367,9cf27a46eb960bfa83172890b8c1f088d8adec2cf49a9cd8a23f96bf787b273e
smoke_P5_t4_s6,4,6,P5,46,base,,039082f8,b22d2260-6cb,400,bf335f9487954698c957269d1d0037b3f057a051154d64419b7cf09d1d551084,bb363d423980d9e3beaf96eda934ab697039c6a30191551140f4d3bbe29608eb,bb1042fc61ab772d86a128dcee9d1d5e2c2ef7fa20afe6afb7c0be3981d8a326,f4d2dca15655f2e823e75f86ac6392a8e82c9c0acb24ee2376acc5caca2b9897,1d49b200f61fbe30328ae033d1db9a38158955398e0c6f33b8ca7b6da7ea1e8b
smoke_P6_t5_s7,5,7,P6,47,base,,9395a1b5,a45a3cef-113,400,80cbc4dad342261a743aaba2a98610c9adb07490ca447118c16e7b7b5db19d5c,68b84c8d1f60252087d38f66c5af74bcfa4267aedabd575cb905fcc780a4fdb4,8b5ed5d0c1f0a4f7faa18a6978a4ca4949043e5a9c8677baea07cbf5a06b8c57,dbac384fb7e71563b91340a52d94a350c2a33a8bd72d9cdef61efe19c3113e47,90d86d78bb70d50305b784603871a5ff5b688c869a517249e01a9360c66959bc
smoke_P7_t6_s5,6,5,P7,48,base,B,a1c5580c,10c6051c-d40,400,410555387e0af2f39854597b303ed7c9c7269a5e1e7c05c3d1bfc3d3d9c4b5c9,10fc2e73b9289526b61edb2c41e777133921de8a65ab2afdb8dd8f78a1dd9950,1ac353b32771e235fde9500a76614260f56174e8e73ce2030a4053346671cba7,225cf02fd9d9a9a7a837d0a6381c9cd7c057ec15ce53c08d053caee4d8370f59,2b361ad5b3e2501330340573e51ba9f262856f970cfb64440e2dfebfbb5913a0
smoke_P1_t7_s5,7,5,P1,49,base,,5829e285,4dd083da-bcd,400,edccd049b620fceaf4c2983117c7a46db082f26ec9eeee10e19ba21beeb936eb,de300e4c08ac942379847c8cde36f9914948598f233142f7f9333beba5d6e067,5c982a53aba0e91d1f84f3653c159d26f73d8f4c2523c2a14a6c925bea86f94e,c70fe1c9f7dc2783c9d4401cba9753e19d7db979202c502f7bbb8dd999ba5d8e,d90c246612d838f93ad51578e7abfb530bc98b150628008f346667c2d48ba01a
smoke_P2_t8_s6,8,6,P2,50,base,,6b631b7d,e0eb5025-f6f,400,a802f778166778c6a4d3e42a9e5fc9a46165ea1147897c3bd6582093222ea108,cc7cad50d143dbe0f9570ceffb0f2692309d285463e011662cfd3badcd7068cf,ec6fd3c6638e754555505300c7a0fbe43e3f7fc706a54429f43a4182ab7f5acd,f86d433dc0e15b17d997027b82a3dcc88dda4bfbb052603119cc223c12fadd7b,bda6420cfa232a4f126dd54e59f05d4f4e8546ea2325f40cb8e24e285122769f
smoke_P3_t9_s7,9,7,P3,51,base,,fc5e0dfd,ce5d6844-09a,400,12b453d3784fd7c9a6dd0f9bb5290aeffefa0ee395e1ca3644234e528a2351bd,602aa500ccd4724d04945328a22375741faedfce98c0e67297fc4dbaa86f41b1,9c4eb3ea01eea2d2c24cc887ca06b45c89ec6b82be7d5a0f06f57c9f70802a13,2fd31290f3ef324db548dc7e7e34dc48ee68d575a02a4208dcd74b3b0c632478,f5a197489363356dc29850c5ac7aebf9a3b9ef293e5e23364815d0a95fa4f556
smoke_P0_replay_A_t0_s3,0,3,P0,42,replay,A,3203d217,c43108f5-12c,400,5f45bb2c1f778987f1f8245a9a26043c470aa0ffe5d7a563e1a306d4908d5167,dab610f3c3d737f13441099c1dcdbe9d151be0d485bddc3ed60386b36eb99f05,2e9a4faf5ecc0e67c8bddebba6f397cfed44c8f430dea539c314a93f9086543a,e798b5d212458364a900219e6724d8151a95f518e6a5d6e446d42be700c85dcb,e798b5d212458364a900219e6724d8151a95f518e6a5d6e446d42be700c85dcb
smoke_P7_replay_B_t6_s5,6,5,P7,48,replay,B,cb3200db,82b9fa32-fa9,400,b97667273e4bf6093f2f8af28c97ae0ef880831a13ff7f00de40722b2d289e77,d46c8a9ad61d1804b1a351fdbdf22e67af2dd0dc15b834fbd7135df75e7e3cf0,63ea8388965042cc973291987ada35b52fdf8dacdafa8ee531cf52b9cd34acbd,225cf02fd9d9a9a7a837d0a6381c9cd7c057ec15ce53c08d053caee4d8370f59,2b361ad5b3e2501330340573e51ba9f262856f970cfb64440e2dfebfbb5913a0
