task_key,state_id,teacher_p_available,teacher_p_anchor,policy,causal,first_threshold_step,selected_event_step,decision_step,actuation_step,online_abs_error_vs_P,online_is_near_P,selected_event_error_vs_P,actual_delay,decision_reason
ketchup,3,True,55,noncausal_record_high,False,55,145,-1,-1,,,90,,
ketchup,3,True,55,noncausal_global_score_argmax,False,-1,145,-1,-1,,,90,,
alphabet_soup,2,True,55,first_threshold,True,55,55,55,55,0,1,0,0,
alphabet_soup,2,True,55,peak_hold_2,True,55,55,57,57,2,1,0,2,
alphabet_soup,2,True,55,peak_hold_4,True,55,55,59,59,4,1,0,4,
alphabet_soup,2,True,55,peak_hold_8,True,55,55,63,63,8,0,0,8,
alphabet_soup,2,True,55,local_maximum,False,55,-1,-1,-1,,,,,no_decline_detected
alphabet_soup,2,True,55,noncausal_record_high,False,55,55,-1,-1,,,0,,
alphabet_soup,2,True,55,noncausal_global_score_argmax,False,-1,55,-1,-1,,,0,,
alphabet_soup,1,True,122,first_threshold,True,62,62,62,62,60,0,60,0,
alphabet_soup,1,True,122,peak_hold_2,True,62,62,64,64,58,0,60,2,
alphabet_soup,1,True,122,peak_hold_4,True,62,62,66,66,56,0,60,4,
alphabet_soup,1,True,122,peak_hold_8,True,62,62,70,70,52,0,60,8,
alphabet_soup,1,True,122,local_maximum,True,62,100,101,101,21,0,22,39,
alphabet_soup,1,True,122,noncausal_record_high,False,62,89,-1,-1,,,33,,
alphabet_soup,1,True,122,noncausal_global_score_argmax,False,-1,89,-1,-1,,,33,,
