condition,fold,state,detector_seed,perturbation_seed,parent_key,mlp_triggered,mlp_emit_step,attack_frames,task_success,n_steps,teacher_anchor,summary_sha256
TRUE_T10,fold_03,state_1,det_seed_2,pert_seed_2,fold_03/state_1,True,86,10,False,400,83,d156a5a430cad0e5
TRUE_T10,fold_03,state_1,det_seed_3,pert_seed_0,fold_03/state_1,True,88,10,False,400,83,5bb2c0c36d510992
TRUE_T10,fold_03,state_1,det_seed_3,pert_seed_1,fold_03/state_1,True,88,10,False,400,83,5bb2c0c36d510992
TRUE_T10,fold_03,state_1,det_seed_3,pert_seed_2,fold_03/state_1,True,88,10,False,400,83,5bb2c0c36d510992
TRUE_T10,fold_03,state_3,det_seed_1,pert_seed_0,fold_03/state_3,True,108,10,False,400,102,fa66097954394f2a
TRUE_T10,fold_03,state_3,det_seed_1,pert_seed_1,fold_03/state_3,True,108,10,False,400,102,fa66097954394f2a
TRUE_T10,fold_03,state_3,det_seed_1,pert_seed_2,fold_03/state_3,True,108,10,False,400,102,fa66097954394f2a
TRUE_T10,fold_03,state_3,det_seed_2,pert_seed_0,fold_03/state_3,True,107,10,False,400,102,7956b2ffc8c43838
TRUE_T10,fold_03,state_3,det_seed_2,pert_seed_1,fold_03/state_3,True,107,10,False,400,102,7956b2ffc8c43838
TRUE_T10,fold_03,state_3,det_seed_2,pert_seed_2,fold_03/state_3,True,107,10,False,400,102,7956b2ffc8c43838
TRUE_T10,fold_03,state_3,det_seed_3,pert_seed_0,fold_03/state_3,True,108,10,False,400,102,00e3ad48729212ff
TRUE_T10,fold_03,state_3,det_seed_3,pert_seed_1,fold_03/state_3,True,108,10,False,400,102,00e3ad48729212ff
TRUE_T10,fold_03,state_3,det_seed_3,pert_seed_2,fold_03/state_3,True,108,10,False,400,102,00e3ad48729212ff
TRUE_T10,fold_04,state_0,det_seed_1,pert_seed_0,fold_04/state_0,True,78,10,False,400,75,e27931526166ad62
TRUE_T10,fold_04,state_0,det_seed_1,pert_seed_1,fold_04/state_0,True,78,10,False,400,75,e27931526166ad62
TRUE_T10,fold_04,state_0,det_seed_1,pert_seed_2,fold_04/state_0,True,78,10,False,400,75,e27931526166ad62
TRUE_T10,fold_04,state_0,det_seed_2,pert_seed_0,fold_04/state_0,True,79,10,False,400,75,c5ea1bb1055c2363
TRUE_T10,fold_04,state_0,det_seed_2,pert_seed_1,fold_04/state_0,True,79,10,False,400,75,df209185823bdfd0
TRUE_T10,fold_04,state_0,det_seed_2,pert_seed_2,fold_04/state_0,True,79,10,False,400,75,e89d6b2af8762189
TRUE_T10,fold_04,state_0,det_seed_3,pert_seed_0,fold_04/state_0,True,78,10,False,400,75,c7dcf046cb7129c7
TRUE_T10,fold_04,state_0,det_seed_3,pert_seed_1,fold_04/state_0,True,78,10,False,400,75,c7dcf046cb7129c7
TRUE_T10,fold_04,state_0,det_seed_3,pert_seed_2,fold_04/state_0,True,78,10,False,400,75,c7dcf046cb7129c7
TRUE_T10,fold_04,state_1,det_seed_1,pert_seed_0,fold_04/state_1,True,87,10,False,400,84,346e3f8de5f2a6fb
TRUE_T10,fold_04,state_1,det_seed_1,pert_seed_1,fold_04/state_1,True,87,10,False,400,84,8461585b34e29d32
TRUE_T10,fold_04,state_1,det_seed_1,pert_seed_2,fold_04/state_1,True,87,10,False,400,84,346e3f8de5f2a6fb
