condition,fold,state,detector_seed,perturbation_seed,parent_key,mlp_triggered,mlp_emit_step,attack_frames,task_success,n_steps,teacher_anchor,summary_sha256
CLEAN,fold_03,state_3,det_seed_2,pert_seed_1,fold_03/state_3,True,107,0,True,144,102,015c48c58b0ee0ab
CLEAN,fold_03,state_3,det_seed_2,pert_seed_2,fold_03/state_3,True,107,0,True,144,102,015c48c58b0ee0ab
CLEAN,fold_03,state_3,det_seed_3,pert_seed_0,fold_03/state_3,True,108,0,True,144,102,cefef38e1ab9822d
CLEAN,fold_03,state_3,det_seed_3,pert_seed_1,fold_03/state_3,True,108,0,True,144,102,cefef38e1ab9822d
CLEAN,fold_03,state_3,det_seed_3,pert_seed_2,fold_03/state_3,True,108,0,True,144,102,cefef38e1ab9822d
CLEAN,fold_04,state_0,det_seed_1,pert_seed_0,fold_04/state_0,True,78,0,True,122,75,868bd3bcb13dce42
CLEAN,fold_04,state_0,det_seed_1,pert_seed_1,fold_04/state_0,True,78,0,True,122,75,868bd3bcb13dce42
CLEAN,fold_04,state_0,det_seed_1,pert_seed_2,fold_04/state_0,True,78,0,True,122,75,868bd3bcb13dce42
CLEAN,fold_04,state_0,det_seed_2,pert_seed_0,fold_04/state_0,True,79,0,True,122,75,8bb3080a9d17f40e
CLEAN,fold_04,state_0,det_seed_2,pert_seed_1,fold_04/state_0,True,79,0,True,122,75,8bb3080a9d17f40e
CLEAN,fold_04,state_0,det_seed_2,pert_seed_2,fold_04/state_0,True,79,0,True,122,75,8bb3080a9d17f40e
CLEAN,fold_04,state_0,det_seed_3,pert_seed_0,fold_04/state_0,True,78,0,True,122,75,428ca04f2a14415a
CLEAN,fold_04,state_0,det_seed_3,pert_seed_1,fold_04/state_0,True,78,0,True,122,75,428ca04f2a14415a
CLEAN,fold_04,state_0,det_seed_3,pert_seed_2,fold_04/state_0,True,78,0,True,122,75,428ca04f2a14415a
CLEAN,fold_04,state_1,det_seed_1,pert_seed_0,fold_04/state_1,True,87,0,True,140,84,dffb6d25b9ad66c0
CLEAN,fold_04,state_1,det_seed_1,pert_seed_1,fold_04/state_1,True,87,0,True,140,84,dffb6d25b9ad66c0
CLEAN,fold_04,state_1,det_seed_1,pert_seed_2,fold_04/state_1,True,87,0,True,140,84,dffb6d25b9ad66c0
CLEAN,fold_04,state_1,det_seed_2,pert_seed_0,fold_04/state_1,True,87,0,True,140,84,4246fee656095e18
CLEAN,fold_04,state_1,det_seed_2,pert_seed_1,fold_04/state_1,True,87,0,True,140,84,4246fee656095e18
CLEAN,fold_04,state_1,det_seed_2,pert_seed_2,fold_04/state_1,True,87,0,True,140,84,4246fee656095e18
CLEAN,fold_04,state_1,det_seed_3,pert_seed_0,fold_04/state_1,True,87,0,True,140,84,2ad2fe5df0ee3331
CLEAN,fold_04,state_1,det_seed_3,pert_seed_1,fold_04/state_1,True,87,0,True,140,84,2ad2fe5df0ee3331
CLEAN,fold_04,state_1,det_seed_3,pert_seed_2,fold_04/state_1,True,87,0,True,140,84,2ad2fe5df0ee3331
CLEAN,fold_05,state_0,det_seed_1,pert_seed_0,fold_05/state_0,False,-1,0,True,134,80,8f7cf83948cc34ba
CLEAN,fold_05,state_0,det_seed_1,pert_seed_1,fold_05/state_0,False,-1,0,True,134,80,8f7cf83948cc34ba
CLEAN,fold_05,state_0,det_seed_1,pert_seed_2,fold_05/state_0,False,-1,0,True,134,80,8f7cf83948cc34ba
CLEAN,fold_05,state_0,det_seed_2,pert_seed_0,fold_05/state_0,False,-1,0,True,134,80,13e2ee8c530ed7dc
CLEAN,fold_05,state_0,det_seed_2,pert_seed_1,fold_05/state_0,False,-1,0,True,134,80,13e2ee8c530ed7dc
CLEAN,fold_05,state_0,det_seed_2,pert_seed_2,fold_05/state_0,False,-1,0,True,134,80,13e2ee8c530ed7dc
CLEAN,fold_05,state_0,det_seed_3,pert_seed_0,fold_05/state_0,False,-1,0,True,134,80,ad486110bdb68056
CLEAN,fold_05,state_0,det_seed_3,pert_seed_1,fold_05/state_0,False,-1,0,True,134,80,ad486110bdb68056
CLEAN,fold_05,state_0,det_seed_3,pert_seed_2,fold_05/state_0,False,-1,0,True,134,80,ad486110bdb68056
CLEAN,fold_05,state_4,det_seed_1,pert_seed_0,fold_05/state_4,True,109,0,True,143,106,1a79c5b6ae941baa
CLEAN,fold_05,state_4,det_seed_1,pert_seed_1,fold_05/state_4,True,109,0,True,143,106,1a79c5b6ae941baa
CLEAN,fold_05,state_4,det_seed_1,pert_seed_2,fold_05/state_4,True,109,0,True,143,106,1a79c5b6ae941baa
CLEAN,fold_05,state_4,det_seed_2,pert_seed_0,fold_05/state_4,False,-1,0,True,143,106,01f038d080e0ecb7
CLEAN,fold_05,state_4,det_seed_2,pert_seed_1,fold_05/state_4,False,-1,0,True,143,106,01f038d080e0ecb7
CLEAN,fold_05,state_4,det_seed_2,pert_seed_2,fold_05/state_4,False,-1,0,True,143,106,01f038d080e0ecb7
CLEAN,fold_05,state_4,det_seed_3,pert_seed_0,fold_05/state_4,False,-1,0,True,143,106,9e3d8b13d9a9d14b
CLEAN,fold_05,state_4,det_seed_3,pert_seed_1,fold_05/state_4,False,-1,0,True,143,106,9e3d8b13d9a9d14b
CLEAN,fold_05,state_4,det_seed_3,pert_seed_2,fold_05/state_4,False,-1,0,True,143,106,9e3d8b13d9a9d14b
CLEAN,fold_06,state_0,det_seed_1,pert_seed_0,fold_06/state_0,True,92,0,True,157,93,afe14098176cda16
CLEAN,fold_06,state_0,det_seed_1,pert_seed_1,fold_06/state_0,True,92,0,True,157,93,afe14098176cda16
CLEAN,fold_06,state_0,det_seed_1,pert_seed_2,fold_06/state_0,True,92,0,True,157,93,afe14098176cda16
CLEAN,fold_06,state_0,det_seed_2,pert_seed_0,fold_06/state_0,True,95,0,True,157,93,ab4c91d4b6c60f58
