run_name,run_status,skip_reason,n_train_rows,n_val_rows,n_test_rows,checkpoint_sha256,tau_corridor,tau_release,val_event_f1,test_event_f1,test_event_precision,test_event_recall,test_false_trigger_episode_rate,test_no_emit_rate,test_frame_auroc,test_frame_auprc
M1_in_domain_libero_spatial,COMPLETED,,13184,3912,18259,552a0a3fe8515268b3928ebf12eb1d71d51207cbf4f67423c3d522a6d16733b6,0.9,0.1,0.787878787878788,0.8129032258064516,0.875,0.7590361445783133,0.09,0.28,0.9752144013994934,0.8877406497951713
M1_in_domain_libero_goal,COMPLETED,,13465,1911,16326,b14251d401aa273ae031f93aea79c214619b309afea444c8fdf2251b33681fe1,0.8,0.1,0.8000000000000002,0.7368421052631579,0.7446808510638298,0.7291666666666666,0.13333333333333333,0.4777777777777778,0.9778831799500685,0.878492780528999
M1_in_domain_libero_10,SKIPPED_NO_SUPERVISED_ROWS,no rows for split=train suites=['libero_10'],0,0,0,,,,,,,,,,,
M2_leave_one_suite_out_test_libero_spatial,COMPLETED,,13465,1911,18259,f0ff9acdc77d1ca000214dae5d2758ba6474d3748248078cf99d1bdc79195da0,0.8,0.1,0.8000000000000002,0.7333333333333333,0.8208955223880597,0.6626506024096386,0.12,0.33,0.9498617235385368,0.829669279478433
M2_leave_one_suite_out_test_libero_goal,COMPLETED,,13184,3912,16326,d98256ea6c29f5aed4d96b58d0f5a9497358de54de6633aa52fe944828067994,0.9,0.1,0.787878787878788,0.7272727272727272,0.8,0.6666666666666666,0.08888888888888889,0.5555555555555556,0.9437775763593401,0.6407135400179379
M2_leave_one_suite_out_test_libero_10,SKIPPED_NO_SUPERVISED_ROWS,no rows for split=test suites=['libero_10'],26649,5823,0,,,,,,,,,,,
