suite,split,supervised_rows,ELIGIBLE_EVENT,SUPPLEMENTARY_EVENT_ELIGIBLE,NO_RELEVANT_GRASP_EVENT,CORRECT_SEMANTIC_ABSTAIN,TARGET_BINDING_AMBIGUOUS,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM
libero_10,held_out,0,0,0,0,0,10,90
libero_10,train,0,0,0,0,0,8,72
libero_10,val,0,0,0,0,0,2,18
libero_goal,held_out,48,48,0,12,30,0,10
libero_goal,train,37,37,0,11,24,0,8
libero_goal,val,10,10,0,2,6,0,2
libero_spatial,held_out,83,83,0,17,0,0,0
libero_spatial,train,68,68,0,12,0,0,0
libero_spatial,val,17,17,0,3,0,0,0
