job_id,suite,task_idx,evaluation_seed,condition,arm_lock,n_steps,task_success,attack_frames,bridge_sha,mlp_emit,summary_ok,telemetry_size,telemetry_ok
p8_libero_spatial_t01_e456_tma_armlock,libero_spatial,1,456,TMA_ARMLOCK,True,128,True,0,84d1242554782952,-1,True,239962,True
p8_libero_spatial_t01_e456_prefix_nolock,libero_spatial,1,456,PREFIX_NOLOCK,False,130,True,0,84d1242554782952,-1,True,247336,True
p8_libero_spatial_t01_e456_prefix_armlock,libero_spatial,1,456,PREFIX_ARMLOCK,True,127,True,0,84d1242554782952,-1,True,241929,True
p8_libero_spatial_t02_e42_clean,libero_spatial,2,42,CLEAN,False,400,False,0,84d1242554782952,-1,True,749388,True
p8_libero_spatial_t02_e42_random,libero_spatial,2,42,RANDOM,False,400,False,0,84d1242554782952,-1,True,754180,True
p8_libero_spatial_t02_e42_untargeted_ce,libero_spatial,2,42,UNTARGETED_CE,False,400,False,0,84d1242554782952,-1,True,767792,True
p8_libero_spatial_t02_e42_tma_nolock,libero_spatial,2,42,TMA_NOLOCK,False,400,False,0,84d1242554782952,-1,True,765525,True
p8_libero_spatial_t02_e42_tma_armlock,libero_spatial,2,42,TMA_ARMLOCK,True,173,True,0,84d1242554782952,-1,True,329026,True
p8_libero_spatial_t02_e42_prefix_nolock,libero_spatial,2,42,PREFIX_NOLOCK,False,400,False,0,84d1242554782952,-1,True,781890,True
p8_libero_spatial_t02_e42_prefix_armlock,libero_spatial,2,42,PREFIX_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,791052,True
p8_libero_spatial_t02_e123_clean,libero_spatial,2,123,CLEAN,False,109,True,0,84d1242554782952,-1,True,201371,True
p8_libero_spatial_t02_e123_random,libero_spatial,2,123,RANDOM,False,106,True,0,84d1242554782952,-1,True,195868,True
p8_libero_spatial_t02_e123_untargeted_ce,libero_spatial,2,123,UNTARGETED_CE,False,100,True,0,84d1242554782952,-1,True,187048,True
p8_libero_spatial_t02_e123_tma_nolock,libero_spatial,2,123,TMA_NOLOCK,False,110,True,0,84d1242554782952,-1,True,205846,True
p8_libero_spatial_t02_e123_tma_armlock,libero_spatial,2,123,TMA_ARMLOCK,True,151,True,0,84d1242554782952,-1,True,286663,True
p8_libero_spatial_t02_e123_prefix_nolock,libero_spatial,2,123,PREFIX_NOLOCK,False,149,True,0,84d1242554782952,-1,True,287433,True
p8_libero_spatial_t02_e123_prefix_armlock,libero_spatial,2,123,PREFIX_ARMLOCK,True,111,True,0,84d1242554782952,-1,True,211320,True
p8_libero_spatial_t02_e456_clean,libero_spatial,2,456,CLEAN,False,91,True,0,84d1242554782952,-1,True,167246,True
p8_libero_spatial_t02_e456_random,libero_spatial,2,456,RANDOM,False,93,True,0,84d1242554782952,-1,True,171435,True
p8_libero_spatial_t02_e456_untargeted_ce,libero_spatial,2,456,UNTARGETED_CE,False,92,True,0,84d1242554782952,-1,True,171892,True
p8_libero_spatial_t02_e456_tma_nolock,libero_spatial,2,456,TMA_NOLOCK,False,94,True,0,84d1242554782952,-1,True,175665,True
p8_libero_spatial_t02_e456_tma_armlock,libero_spatial,2,456,TMA_ARMLOCK,True,97,True,0,84d1242554782952,-1,True,181157,True
p8_libero_spatial_t02_e456_prefix_nolock,libero_spatial,2,456,PREFIX_NOLOCK,False,94,True,0,84d1242554782952,-1,True,178585,True
p8_libero_spatial_t02_e456_prefix_armlock,libero_spatial,2,456,PREFIX_ARMLOCK,True,95,True,0,84d1242554782952,-1,True,180436,True
p8_libero_spatial_t03_e42_clean,libero_spatial,3,42,CLEAN,False,76,True,0,84d1242554782952,-1,True,139562,True
p8_libero_spatial_t03_e42_random,libero_spatial,3,42,RANDOM,False,78,True,0,84d1242554782952,-1,True,143420,True
p8_libero_spatial_t03_e42_untargeted_ce,libero_spatial,3,42,UNTARGETED_CE,False,82,True,0,84d1242554782952,-1,True,153567,True
p8_libero_spatial_t03_e42_tma_nolock,libero_spatial,3,42,TMA_NOLOCK,False,74,True,0,84d1242554782952,-1,True,138269,True
p8_libero_spatial_t03_e42_tma_armlock,libero_spatial,3,42,TMA_ARMLOCK,True,76,True,0,84d1242554782952,-1,True,141908,True
p8_libero_spatial_t03_e42_prefix_nolock,libero_spatial,3,42,PREFIX_NOLOCK,False,76,True,0,84d1242554782952,-1,True,144297,True
p8_libero_spatial_t03_e42_prefix_armlock,libero_spatial,3,42,PREFIX_ARMLOCK,True,82,True,0,84d1242554782952,-1,True,156265,True
p8_libero_spatial_t03_e123_clean,libero_spatial,3,123,CLEAN,False,101,True,0,84d1242554782952,-1,True,187280,True
p8_libero_spatial_t03_e123_random,libero_spatial,3,123,RANDOM,False,97,True,0,84d1242554782952,-1,True,180293,True
p8_libero_spatial_t03_e123_untargeted_ce,libero_spatial,3,123,UNTARGETED_CE,False,100,True,0,84d1242554782952,-1,True,188404,True
p8_libero_spatial_t03_e123_tma_nolock,libero_spatial,3,123,TMA_NOLOCK,False,97,True,0,84d1242554782952,-1,True,182707,True
p8_libero_spatial_t03_e123_tma_armlock,libero_spatial,3,123,TMA_ARMLOCK,True,97,True,0,84d1242554782952,-1,True,182722,True
p8_libero_spatial_t03_e123_prefix_nolock,libero_spatial,3,123,PREFIX_NOLOCK,False,97,True,0,84d1242554782952,-1,True,185723,True
p8_libero_spatial_t03_e123_prefix_armlock,libero_spatial,3,123,PREFIX_ARMLOCK,True,100,True,0,84d1242554782952,-1,True,191754,True
p8_libero_spatial_t03_e456_clean,libero_spatial,3,456,CLEAN,False,80,True,0,84d1242554782952,-1,True,147323,True
p8_libero_spatial_t03_e456_random,libero_spatial,3,456,RANDOM,False,82,True,0,84d1242554782952,-1,True,151496,True
p8_libero_spatial_t03_e456_untargeted_ce,libero_spatial,3,456,UNTARGETED_CE,False,82,True,0,84d1242554782952,-1,True,153386,True
p8_libero_spatial_t03_e456_tma_nolock,libero_spatial,3,456,TMA_NOLOCK,False,82,True,0,84d1242554782952,-1,True,153546,True
p8_libero_spatial_t03_e456_tma_armlock,libero_spatial,3,456,TMA_ARMLOCK,True,82,True,0,84d1242554782952,-1,True,153541,True
p8_libero_spatial_t03_e456_prefix_nolock,libero_spatial,3,456,PREFIX_NOLOCK,False,78,True,0,84d1242554782952,-1,True,148746,True
p8_libero_spatial_t03_e456_prefix_armlock,libero_spatial,3,456,PREFIX_ARMLOCK,True,82,True,0,84d1242554782952,-1,True,156081,True
p8_libero_spatial_t04_e42_clean,libero_spatial,4,42,CLEAN,False,144,True,0,84d1242554782952,-1,True,266817,True
p8_libero_spatial_t04_e42_random,libero_spatial,4,42,RANDOM,False,144,True,0,84d1242554782952,-1,True,267667,True
p8_libero_spatial_t04_e42_untargeted_ce,libero_spatial,4,42,UNTARGETED_CE,False,144,True,0,84d1242554782952,-1,True,270978,True
p8_libero_spatial_t04_e42_tma_nolock,libero_spatial,4,42,TMA_NOLOCK,False,144,True,0,84d1242554782952,-1,True,271271,True
p8_libero_spatial_t04_e42_tma_armlock,libero_spatial,4,42,TMA_ARMLOCK,True,144,True,0,84d1242554782952,-1,True,271273,True
p8_libero_spatial_t04_e42_prefix_nolock,libero_spatial,4,42,PREFIX_NOLOCK,False,144,True,0,84d1242554782952,-1,True,275729,True
p8_libero_spatial_t04_e42_prefix_armlock,libero_spatial,4,42,PREFIX_ARMLOCK,True,144,True,0,84d1242554782952,-1,True,275725,True
p8_libero_spatial_t04_e123_clean,libero_spatial,4,123,CLEAN,False,138,True,0,84d1242554782952,-1,True,255478,True
p8_libero_spatial_t04_e123_random,libero_spatial,4,123,RANDOM,False,138,True,0,84d1242554782952,-1,True,256312,True
p8_libero_spatial_t04_e123_untargeted_ce,libero_spatial,4,123,UNTARGETED_CE,False,138,True,0,84d1242554782952,-1,True,259498,True
p8_libero_spatial_t04_e123_tma_nolock,libero_spatial,4,123,TMA_NOLOCK,False,138,True,0,84d1242554782952,-1,True,259762,True
p8_libero_spatial_t04_e123_tma_armlock,libero_spatial,4,123,TMA_ARMLOCK,True,138,True,0,84d1242554782952,-1,True,259751,True
p8_libero_spatial_t04_e123_prefix_nolock,libero_spatial,4,123,PREFIX_NOLOCK,False,138,True,0,84d1242554782952,-1,True,264037,True
p8_libero_spatial_t04_e123_prefix_armlock,libero_spatial,4,123,PREFIX_ARMLOCK,True,138,True,0,84d1242554782952,-1,True,264043,True
p8_libero_spatial_t04_e456_clean,libero_spatial,4,456,CLEAN,False,126,True,0,84d1242554782952,-1,True,232685,True
p8_libero_spatial_t04_e456_random,libero_spatial,4,456,RANDOM,False,126,True,0,84d1242554782952,-1,True,233456,True
p8_libero_spatial_t04_e456_untargeted_ce,libero_spatial,4,456,UNTARGETED_CE,False,126,True,0,84d1242554782952,-1,True,236358,True
p8_libero_spatial_t04_e456_tma_nolock,libero_spatial,4,456,TMA_NOLOCK,False,126,True,0,84d1242554782952,-1,True,236608,True
p8_libero_spatial_t04_e456_tma_armlock,libero_spatial,4,456,TMA_ARMLOCK,True,126,True,0,84d1242554782952,-1,True,236614,True
p8_libero_spatial_t04_e456_prefix_nolock,libero_spatial,4,456,PREFIX_NOLOCK,False,126,True,0,84d1242554782952,-1,True,240508,True
p8_libero_spatial_t04_e456_prefix_armlock,libero_spatial,4,456,PREFIX_ARMLOCK,True,126,True,0,84d1242554782952,-1,True,240520,True
p8_libero_spatial_t05_e42_clean,libero_spatial,5,42,CLEAN,False,400,False,0,84d1242554782952,-1,True,747999,True
p8_libero_spatial_t05_e42_random,libero_spatial,5,42,RANDOM,False,400,False,0,84d1242554782952,-1,True,745809,True
p8_libero_spatial_t05_e42_untargeted_ce,libero_spatial,5,42,UNTARGETED_CE,False,400,False,0,84d1242554782952,-1,True,754165,True
p8_libero_spatial_t05_e42_tma_nolock,libero_spatial,5,42,TMA_NOLOCK,False,400,False,0,84d1242554782952,-1,True,761625,True
p8_libero_spatial_t05_e42_tma_armlock,libero_spatial,5,42,TMA_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,759475,True
p8_libero_spatial_t05_e42_prefix_nolock,libero_spatial,5,42,PREFIX_NOLOCK,False,400,False,0,84d1242554782952,-1,True,767204,True
p8_libero_spatial_t05_e42_prefix_armlock,libero_spatial,5,42,PREFIX_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,764266,True
p8_libero_spatial_t05_e123_clean,libero_spatial,5,123,CLEAN,False,400,False,0,84d1242554782952,-1,True,743462,True
p8_libero_spatial_t05_e123_random,libero_spatial,5,123,RANDOM,False,400,False,0,84d1242554782952,-1,True,749401,True
p8_libero_spatial_t05_e123_untargeted_ce,libero_spatial,5,123,UNTARGETED_CE,False,400,False,0,84d1242554782952,-1,True,758935,True
p8_libero_spatial_t05_e123_tma_nolock,libero_spatial,5,123,TMA_NOLOCK,False,400,False,0,84d1242554782952,-1,True,761439,True
p8_libero_spatial_t05_e123_tma_armlock,libero_spatial,5,123,TMA_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,763851,True
p8_libero_spatial_t05_e123_prefix_nolock,libero_spatial,5,123,PREFIX_NOLOCK,False,400,False,0,84d1242554782952,-1,True,769025,True
p8_libero_spatial_t05_e123_prefix_armlock,libero_spatial,5,123,PREFIX_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,776641,True
p8_libero_spatial_t05_e456_clean,libero_spatial,5,456,CLEAN,False,400,False,0,84d1242554782952,-1,True,760041,True
p8_libero_spatial_t05_e456_random,libero_spatial,5,456,RANDOM,False,85,True,0,84d1242554782952,-1,True,155889,True
p8_libero_spatial_t05_e456_untargeted_ce,libero_spatial,5,456,UNTARGETED_CE,False,151,True,0,84d1242554782952,-1,True,282574,True
p8_libero_spatial_t05_e456_tma_nolock,libero_spatial,5,456,TMA_NOLOCK,False,90,True,0,84d1242554782952,-1,True,167543,True
p8_libero_spatial_t05_e456_tma_armlock,libero_spatial,5,456,TMA_ARMLOCK,True,88,True,0,84d1242554782952,-1,True,163884,True
p8_libero_spatial_t05_e456_prefix_nolock,libero_spatial,5,456,PREFIX_NOLOCK,False,86,True,0,84d1242554782952,-1,True,162596,True
p8_libero_spatial_t05_e456_prefix_armlock,libero_spatial,5,456,PREFIX_ARMLOCK,True,86,True,0,84d1242554782952,-1,True,162566,True
p8_libero_spatial_t06_e42_clean,libero_spatial,6,42,CLEAN,False,400,False,0,84d1242554782952,-1,True,763991,True
p8_libero_spatial_t06_e42_random,libero_spatial,6,42,RANDOM,False,400,False,0,84d1242554782952,-1,True,766397,True
p8_libero_spatial_t06_e42_untargeted_ce,libero_spatial,6,42,UNTARGETED_CE,False,400,False,0,84d1242554782952,-1,True,760469,True
p8_libero_spatial_t06_e42_tma_nolock,libero_spatial,6,42,TMA_NOLOCK,False,400,False,0,84d1242554782952,-1,True,776402,True
p8_libero_spatial_t06_e42_tma_armlock,libero_spatial,6,42,TMA_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,776395,True
p8_libero_spatial_t06_e42_prefix_nolock,libero_spatial,6,42,PREFIX_NOLOCK,False,400,False,0,84d1242554782952,-1,True,788814,True
p8_libero_spatial_t06_e42_prefix_armlock,libero_spatial,6,42,PREFIX_ARMLOCK,True,400,False,0,84d1242554782952,-1,True,788820,True
p8_libero_spatial_t06_e123_clean,libero_spatial,6,123,CLEAN,False,101,True,0,84d1242554782952,-1,True,187707,True
p8_libero_spatial_t06_e123_random,libero_spatial,6,123,RANDOM,False,101,True,0,84d1242554782952,-1,True,188301,True
p8_libero_spatial_t06_e123_untargeted_ce,libero_spatial,6,123,UNTARGETED_CE,False,101,True,0,84d1242554782952,-1,True,190629,True
p8_libero_spatial_t06_e123_tma_nolock,libero_spatial,6,123,TMA_NOLOCK,False,101,True,0,84d1242554782952,-1,True,190823,True
p8_libero_spatial_t06_e123_tma_armlock,libero_spatial,6,123,TMA_ARMLOCK,True,101,True,0,84d1242554782952,-1,True,190823,True
p8_libero_spatial_t06_e123_prefix_nolock,libero_spatial,6,123,PREFIX_NOLOCK,False,101,True,0,84d1242554782952,-1,True,193964,True
p8_libero_spatial_t06_e123_prefix_armlock,libero_spatial,6,123,PREFIX_ARMLOCK,True,101,True,0,84d1242554782952,-1,True,193960,True
p8_libero_spatial_t06_e456_clean,libero_spatial,6,456,CLEAN,False,93,True,0,84d1242554782952,-1,True,172750,True
p8_libero_spatial_t06_e456_random,libero_spatial,6,456,RANDOM,False,93,True,0,84d1242554782952,-1,True,173324,True
p8_libero_spatial_t06_e456_untargeted_ce,libero_spatial,6,456,UNTARGETED_CE,False,93,True,0,84d1242554782952,-1,True,175449,True
p8_libero_spatial_t06_e456_tma_nolock,libero_spatial,6,456,TMA_NOLOCK,False,93,True,0,84d1242554782952,-1,True,175634,True
p8_libero_spatial_t06_e456_tma_armlock,libero_spatial,6,456,TMA_ARMLOCK,True,93,True,0,84d1242554782952,-1,True,175641,True
p8_libero_spatial_t06_e456_prefix_nolock,libero_spatial,6,456,PREFIX_NOLOCK,False,93,True,0,84d1242554782952,-1,True,178529,True
p8_libero_spatial_t06_e456_prefix_armlock,libero_spatial,6,456,PREFIX_ARMLOCK,True,93,True,0,84d1242554782952,-1,True,178530,True
p8_libero_spatial_t07_e42_clean,libero_spatial,7,42,CLEAN,False,115,True,0,84d1242554782952,-1,True,209418,True
p8_libero_spatial_t07_e42_random,libero_spatial,7,42,RANDOM,False,109,True,0,84d1242554782952,-1,True,199659,True
p8_libero_spatial_t07_e42_untargeted_ce,libero_spatial,7,42,UNTARGETED_CE,False,109,True,0,84d1242554782952,-1,True,201459,True
p8_libero_spatial_t07_e42_tma_nolock,libero_spatial,7,42,TMA_NOLOCK,False,110,True,0,84d1242554782952,-1,True,203799,True
p8_libero_spatial_t07_e42_tma_armlock,libero_spatial,7,42,TMA_ARMLOCK,True,110,True,0,84d1242554782952,-1,True,204089,True
p8_libero_spatial_t07_e42_prefix_nolock,libero_spatial,7,42,PREFIX_NOLOCK,False,109,True,0,84d1242554782952,-1,True,205564,True
p8_libero_spatial_t07_e42_prefix_armlock,libero_spatial,7,42,PREFIX_ARMLOCK,True,109,True,0,84d1242554782952,-1,True,205487,True
p8_libero_spatial_t07_e123_clean,libero_spatial,7,123,CLEAN,False,123,True,0,84d1242554782952,-1,True,223546,True
p8_libero_spatial_t07_e123_random,libero_spatial,7,123,RANDOM,False,109,True,0,84d1242554782952,-1,True,199348,True
p8_libero_spatial_t07_e123_untargeted_ce,libero_spatial,7,123,UNTARGETED_CE,False,113,True,0,84d1242554782952,-1,True,209324,True
p8_libero_spatial_t07_e123_tma_nolock,libero_spatial,7,123,TMA_NOLOCK,False,114,True,0,84d1242554782952,-1,True,211419,True
p8_libero_spatial_t07_e123_tma_armlock,libero_spatial,7,123,TMA_ARMLOCK,True,113,True,0,84d1242554782952,-1,True,209476,True
p8_libero_spatial_t07_e123_prefix_nolock,libero_spatial,7,123,PREFIX_NOLOCK,False,117,True,0,84d1242554782952,-1,True,220225,True
p8_libero_spatial_t07_e123_prefix_armlock,libero_spatial,7,123,PREFIX_ARMLOCK,True,115,True,0,84d1242554782952,-1,True,216514,True
p8_libero_spatial_t07_e456_clean,libero_spatial,7,456,CLEAN,False,134,True,0,84d1242554782952,-1,True,244856,True
p8_libero_spatial_t07_e456_random,libero_spatial,7,456,RANDOM,False,132,True,0,84d1242554782952,-1,True,241925,True
p8_libero_spatial_t07_e456_untargeted_ce,libero_spatial,7,456,UNTARGETED_CE,False,133,True,0,84d1242554782952,-1,True,246656,True
p8_libero_spatial_t07_e456_tma_nolock,libero_spatial,7,456,TMA_NOLOCK,False,153,True,0,84d1242554782952,-1,True,284483,True
p8_libero_spatial_t07_e456_tma_armlock,libero_spatial,7,456,TMA_ARMLOCK,True,133,True,0,84d1242554782952,-1,True,247013,True
p8_libero_spatial_t07_e456_prefix_nolock,libero_spatial,7,456,PREFIX_NOLOCK,False,132,True,0,84d1242554782952,-1,True,249295,True
p8_libero_spatial_t07_e456_prefix_armlock,libero_spatial,7,456,PREFIX_ARMLOCK,True,133,True,0,84d1242554782952,-1,True,251143,True
p8_libero_spatial_t08_e42_clean,libero_spatial,8,42,CLEAN,False,111,True,0,84d1242554782952,-1,True,204676,True
p8_libero_spatial_t08_e42_random,libero_spatial,8,42,RANDOM,False,107,True,0,84d1242554782952,-1,True,198259,True
p8_libero_spatial_t08_e42_untargeted_ce,libero_spatial,8,42,UNTARGETED_CE,False,115,True,0,84d1242554782952,-1,True,215014,True
p8_libero_spatial_t08_e42_tma_nolock,libero_spatial,8,42,TMA_NOLOCK,False,110,True,0,84d1242554782952,-1,True,206282,True
p8_libero_spatial_t08_e42_tma_armlock,libero_spatial,8,42,TMA_ARMLOCK,True,115,True,0,84d1242554782952,-1,True,215135,True
p8_libero_spatial_t08_e42_prefix_nolock,libero_spatial,8,42,PREFIX_NOLOCK,False,106,True,0,84d1242554782952,-1,True,202424,True
p8_libero_spatial_t08_e42_prefix_armlock,libero_spatial,8,42,PREFIX_ARMLOCK,True,108,True,0,84d1242554782952,-1,True,206081,True
