iteration,update_step,official_tokens,official_gripper_token,official_target31744_score,official_best_competitor_token,official_best_competitor_score,official_target31744_margin,official_target31744_best_competitor_margin,official_target31744_logratio_margin,score_invariant_status,official_arm_prefix,clean_arm_prefix,arm_prefix_match_count,arm_prefix_match_denominator,surrogate_arm_prefix_pre_update,surrogate_logratio_margin_pre_update,surrogate_best_competitor_margin_pre_update,gradient_l1,gradient_l2,gradient_linf,delta_sha256,processor_input_sha256,processor_linf,reconstruction_status
10,9,"[31938,31878,31932,31882,31977,31915,31744]",31744,38.75,31872,34.25,4.5,4.5,4.5,PASS,"[31938,31878,31932,31882,31977,31915]","[31900,31870,31915,31882,31862,31913]",1,6,"[31914,31870,31940,31891,31928,31868]",43.67996597290039,44.0,1287.9425048828125,5.692253589630127,0.380859375,403e150d7cc048b60ad24050da6be189d3941d09249fa911baa23f0540e09e7a,fba1cc30562b76a87325471fa573e41dede4acb83a0ca3ee69508332871bf9b7,0.023529052734375,RECONSTRUCTION_INVALID
11,10,"[31938,31876,31937,31882,31977,31915,31744]",31744,47.5,31872,31.125,16.374876022338867,16.375,16.374876022338867,PASS,"[31938,31876,31937,31882,31977,31915]","[31900,31870,31915,31882,31862,31913]",1,6,"[31938,31878,31932,31882,31977,31915]",4.5,4.5,2445.347900390625,11.94862174987793,0.99609375,4fe03579ba0239994420a7b9c0e7b5d83a6dbef31cd99d53e432bf39d411ef4d,d156abfd63f1d165823b5395860604286911df226b5097aca2ec2bfc92e33650,0.023529052734375,RECONSTRUCTION_INVALID
12,11,"[31938,31870,31938,31882,31999,31926,31744]",31744,53.5,31872,30.625,22.875,22.875,22.875,PASS,"[31938,31870,31938,31882,31999,31926]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31876,31937,31882,31977,31915]",16.374876022338867,16.375,2357.60595703125,11.6812162399292,0.7734375,69065907b0eaa6019872dcc67a2b0da6702677f5ad7b58941b2dcff97aef26ed,c0da855ae83f581b0fd6db80e0848066c7b47ed37e53060f7c735070a018e72c,0.023529052734375,RECONSTRUCTION_INVALID
13,12,"[31938,31870,31938,31882,31999,31926,31744]",31744,54.75,31872,29.125,25.624996185302734,25.625,25.624996185302734,PASS,"[31938,31870,31938,31882,31999,31926]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31926]",22.875,22.875,1996.2203369140625,10.908501625061035,0.7421875,ca6b2bb33d05353dcb2f74aaf6f5f080eb29c046a1274223fc57fc48071cbc31,e67ce4c47902287fac49f5f2eb10db29d6c82e3ade45804cba8930b02627d259,0.023529052734375,RECONSTRUCTION_INVALID
14,13,"[31938,31870,31938,31882,31999,31916,31744]",31744,53.0,31872,32.0,20.999996185302734,21.0,20.999996185302734,PASS,"[31938,31870,31938,31882,31999,31916]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31926]",25.624996185302734,25.625,1550.09619140625,7.802552223205566,0.474609375,ab6e850cee9fe250bc3b1420b5c177608c8cf66f125e0023ea85879102d71850,a88c0760f542ff102f5852edf28e412b3b072435441d1c4371bbe78fae40f365,0.023529052734375,RECONSTRUCTION_INVALID
15,14,"[31938,31870,31938,31882,31999,31916,31744]",31744,53.75,31872,30.75,22.999982833862305,23.0,22.999982833862305,PASS,"[31938,31870,31938,31882,31999,31916]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31916]",20.999996185302734,21.0,1527.711669921875,7.66975736618042,0.65234375,f5f679bea12d3c3be6ec3c41ff4f12b4230a7ce8c977e869f4dac4c6ae1a7c86,ce69362fd07aa505a6f78d80f46becd9fb4d721f456d2ea83fe60a5ef7e14aef,0.023529052734375,RECONSTRUCTION_INVALID
16,15,"[31938,31870,31938,31882,31999,31915,31744]",31744,54.0,31872,26.625,27.37425994873047,27.375,27.37425994873047,PASS,"[31938,31870,31938,31882,31999,31915]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31916]",22.999982833862305,23.0,1423.875244140625,7.000918388366699,0.64453125,a92dd02612202447f337bbff5b7e9f165839ed0f4daa0548f74ebe0c29aeae9d,19d7f36cf259efa7d9417e5fe72b0e8e8d95a114dbcf67f9cadc382cecedcdce,0.023529052734375,RECONSTRUCTION_INVALID
17,16,"[31938,31870,31938,31882,31999,31915,31744]",31744,55.5,31872,25.0,30.4952392578125,30.5,30.4952392578125,PASS,"[31938,31870,31938,31882,31999,31915]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31915]",27.37425994873047,27.375,1639.3109130859375,8.215910911560059,0.6796875,e0acf81fd49f8e06226bc73345311bd58826164ba491ffba18ec035531df36f1,5edec1a74352664cc0fb955ed53732a1bb4071b3ae480dcb9ec0cc1e38459d91,0.023529052734375,RECONSTRUCTION_INVALID
18,17,"[31938,31870,31938,31882,31999,31915,31744]",31744,55.75,31872,23.375,32.3360595703125,32.375,32.3360595703125,PASS,"[31938,31870,31938,31882,31999,31915]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31915]",30.4952392578125,30.5,1544.35400390625,7.580764293670654,0.609375,32941c58cedb6a0fbacbdfed39f2630da0c2e8dc0f0f5fc94c581693e5f1eb5a,c9034a407b334a0891184ae0755ca5f7cfb6063b70579877aa8a2dcef744ca12,0.023529052734375,RECONSTRUCTION_INVALID
19,18,"[31938,31870,31938,31882,31999,31915,31744]",31744,56.5,31872,22.125,34.229400634765625,34.375,34.229400634765625,PASS,"[31938,31870,31938,31882,31999,31915]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31915]",32.3360595703125,32.375,1389.4306640625,6.645623207092285,0.45703125,a8044ae4d6c334801f6cfc870a2007ab1204428edb97e69217b2c3dbadd825cf,0afa10cbcb38a7747b8022ea1af36c27524d53e897959f631594d97b143a1614,0.023529052734375,RECONSTRUCTION_INVALID
20,19,"[31938,31870,31938,31882,31999,31915,31744]",31744,57.0,31872,20.625,36.01569366455078,36.375,36.01569366455078,PASS,"[31938,31870,31938,31882,31999,31915]","[31900,31870,31915,31882,31862,31913]",2,6,"[31938,31870,31938,31882,31999,31915]",34.22939682006836,34.375,1301.9951171875,6.1724419593811035,0.404296875,ebd9a6eaa6903307d165c72984957b1ad81bfafe6f112ec3b6f716f9c7fc734f,d4077b0eadeac02d56153772e45efb0e98b85bfed04490fdfe668241620617fb,0.023529052734375,RECONSTRUCTION_INVALID
