window,task,ws,we,n_pre,n_win,rg_mean,rg_std,rg_last,rg_slope,open_prob_mean,open_prob_std,close_prob_mean,open_norm_mean,open_norm_last,logit_margin_mean,logit_margin_std,logit_margin_last,entropy_mean,entropy_std,entropy_last,top2_margin_mean,top2_margin_last
"A1_milk[70,80]",milk,70,80,70,11,0.103417,0.645383,-0.180392,-0.009474,0.498581,0.469376,0.419998,0.573071,0.000182,5.512946,19.23917,-8.5625,0.491772,0.555997,1.368801,6.54375,0.0
"A2_butter[80,90]",butter,80,90,80,11,0.227745,0.308644,-0.14902,-0.001336,0.679113,0.441384,0.103412,0.878432,0.02153,13.1,10.020937,-3.4375,0.351669,0.569494,1.735381,8.195312,0.5
"FP_tomato[55,65]",tomato_sauce,55,65,55,11,0.221034,0.30679,-0.047059,2.6e-05,0.696669,0.449956,0.095943,0.894996,0.018352,16.65277,12.830481,-4.875,0.236114,0.370605,0.762273,8.002273,1.125
"FN_salad[70,80]",salad_dressing,70,80,70,11,0.340168,0.359638,0.298039,-0.007601,0.715373,0.421891,0.046344,0.948231,1.0,14.452679,9.295131,28.75,0.337787,0.467302,0.0,5.977679,21.0
