trace_path,task,state_id,seed,condition,window_start,window_end,window_source,selector_type,phase,generated_OPEN_count,generated_OPEN_total,qpos_opening_delta,qpos_abs_delta,qpos_post_start,qpos_post_min,armL2_max,done,timeout,attack_invalid,schema_incomplete,claim_excluded,exclusion_reason
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/ketchup_s3/traces/ketchup_s3_random_linf_w25_42_trace.csv,ketchup,3,0,random_linf,25,42,fixed,fixed,grasp_formation,0,18,0.0,0.000267,0.039355,0.039355,0.261799,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/ketchup_s3/traces/ketchup_s3_vis_pgd_w25_42_trace.csv,ketchup,3,0,vis_pgd,25,42,fixed,fixed,grasp_formation,0,18,0.0,0.000357,0.039275,0.039275,0.0,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/milk_s1/traces/milk_s1_clean_w8_25_trace.csv,milk,1,0,clean,8,25,fixed,fixed,grasp_formation,0,18,0.0,0.00088,0.038409,0.038409,0.0,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/milk_s1/traces/milk_s1_random_linf_w8_25_trace.csv,milk,1,0,random_linf,8,25,fixed,fixed,grasp_formation,0,18,0.0,0.000874,0.038409,0.038409,0.147839,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/milk_s1/traces/milk_s1_vis_pgd_w8_25_trace.csv,milk,1,0,vis_pgd,8,25,fixed,fixed,grasp_formation,0,18,0.0,0.000869,0.038431,0.038431,0.0,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/salad_dressing_s0/traces/salad_dressing_s0_clean_w7_24_trace.csv,salad_dressing,0,0,clean,7,24,fixed,fixed,grasp_formation,0,18,0.0,0.001275,0.038112,0.038112,0.0,False,True,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/salad_dressing_s0/traces/salad_dressing_s0_random_linf_w7_24_trace.csv,salad_dressing,0,0,random_linf,7,24,fixed,fixed,grasp_formation,0,18,0.0,0.001271,0.038112,0.038112,0.294331,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/salad_dressing_s0/traces/salad_dressing_s0_vis_pgd_w7_24_trace.csv,salad_dressing,0,0,vis_pgd,7,24,fixed,fixed,grasp_formation,0,18,0.0,0.001271,0.038112,0.038112,0.0,False,True,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/tomato_sauce_s1/traces/tomato_sauce_s1_clean_w23_40_trace.csv,tomato_sauce,1,0,clean,23,40,fixed,fixed,grasp_formation,0,18,0.0,0.000351,0.039314,0.039314,0.0,False,True,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/tomato_sauce_s1/traces/tomato_sauce_s1_random_linf_w23_40_trace.csv,tomato_sauce,1,0,random_linf,23,40,fixed,fixed,grasp_formation,0,18,0.0,0.000349,0.039321,0.039321,0.291546,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r/tomato_sauce_s1/traces/tomato_sauce_s1_vis_pgd_w23_40_trace.csv,tomato_sauce,1,0,vis_pgd,23,40,fixed,fixed,grasp_formation,0,18,0.0,0.000354,0.039318,0.039318,0.0,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r_recovery/bbq_sauce_s5/traces/bbq_sauce_s5_clean_w27_44_trace.csv,bbq_sauce,5,0,clean,27,44,fixed,fixed,grasp_formation,0,18,0.0,0.000309,0.039391,0.039391,0.0,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r_recovery/bbq_sauce_s5/traces/bbq_sauce_s5_random_linf_w27_44_trace.csv,bbq_sauce,5,0,random_linf,27,44,fixed,fixed,grasp_formation,0,18,0.0,0.000299,0.039392,0.039392,0.459089,True,False,False,False,False,
/data/liuyu/outputs/vis_calibration_1r3r_20260605_1r_recovery/bbq_sauce_s5/traces/bbq_sauce_s5_vis_pgd_w27_44_trace.csv,bbq_sauce,5,0,vis_pgd,27,44,fixed,fixed,grasp_formation,0,18,0.0,0.000307,0.039397,0.039397,0.0,True,False,False,False,False,
