parent_id,step,is_anchor,clean_eligibility,eligible_for_attack
butter_s11,57,False,CLEAN_ALREADY_TARGET,False
butter_s11,58,False,CLEAN_ALREADY_TARGET,False
butter_s11,59,False,CLEAN_ALREADY_TARGET,False
butter_s11,60,True,CLEAN_ELIGIBLE,True
butter_s11,61,False,CLEAN_ELIGIBLE,True
butter_s11,62,False,CLEAN_ELIGIBLE,True
butter_s11,63,False,CLEAN_ELIGIBLE,True
tomato_sauce_s23,138,False,CLEAN_ALREADY_TARGET,False
tomato_sauce_s23,139,False,CLEAN_ALREADY_TARGET,False
tomato_sauce_s23,140,False,CLEAN_ALREADY_TARGET,False
tomato_sauce_s23,141,True,CLEAN_ELIGIBLE,True
tomato_sauce_s23,142,False,CLEAN_ALREADY_TARGET,False
tomato_sauce_s23,143,False,CLEAN_ALREADY_TARGET,False
tomato_sauce_s23,144,False,CLEAN_ALREADY_TARGET,False
salad_dressing_s11,56,False,CLEAN_ALREADY_TARGET,False
salad_dressing_s11,57,False,CLEAN_ALREADY_TARGET,False
salad_dressing_s11,58,False,CLEAN_ALREADY_TARGET,False
salad_dressing_s11,59,True,CLEAN_ELIGIBLE,True
salad_dressing_s11,60,False,CLEAN_ELIGIBLE,True
salad_dressing_s11,61,False,CLEAN_ELIGIBLE,True
salad_dressing_s11,62,False,CLEAN_ELIGIBLE,True
