job_id,pair_id,task,state_id,condition,env_seed,attack_seed,window_start,window_end,window_size,n_total_steps,infra_status,decoded_open_count,longest_streak,qpos_delta,success,valid,is_retry
520158,k5c_sentinel_milk_gold,milk,0,vis_pgd,0,4,70,80,11,85,ok,10,6,0.061506,0,True,False
520151,k5c_sentinel_milk_gold,milk,0,random_linf,0,0,70,80,11,85,ok,0,0,0.022853,0,True,False
520043,k5c_rand_alpha,alphabet_soup,0,random_linf,0,1,55,65,11,70,ok,4,1,0.005148,0,True,False
520127,k5c_phys_tomato,tomato_sauce,2,random_linf,2,3,85,95,11,100,ok,0,0,0.000653,0,True,False
520078,k5c_cmd_cream,cream_cheese,1,vis_pgd,1,4,85,95,11,100,ok,4,2,0.014861,0,True,False
520086,k5c_cmd_salad_neg,salad_dressing,1,vis_pgd,1,3,55,65,11,70,ok,6,3,0.002444,0,True,False
520083,k5c_cmd_salad_neg,salad_dressing,1,random_linf,1,1,55,65,11,70,ok,0,0,0.001208,0,True,False
520057,k5c_cmd_tomato_early,tomato_sauce,0,random_linf,0,3,50,60,11,65,ok,2,1,0.000776,0,True,False
520125,k5c_phys_tomato,tomato_sauce,2,random_linf,2,2,85,95,11,100,ok,1,1,0.061113,0,True,False
520107,k5c_cmd_butter,butter,0,random_linf,0,3,80,90,11,95,ok,2,1,0.003753,0,True,False
520035,k5c_rand_oj,orange_juice,1,random_linf,1,2,50,60,11,65,ok,4,2,0.015126,0,True,False
520071,k5c_cmd_cream,cream_cheese,1,random_linf,1,0,85,95,11,100,ok,3,1,0.014851,0,True,False
520144,k5c_phys_bbq,bbq_sauce,0,vis_pgd,0,2,70,80,11,85,ok,2,1,0.000213,0,True,False
520096,k5c_cmd_alpha,alphabet_soup,0,vis_pgd,0,3,65,75,11,80,ok,4,3,0.024905,0,True,False
520074,k5c_cmd_cream,cream_cheese,1,vis_pgd,1,2,85,95,11,100,ok,6,3,0.025105,0,True,False
520005,k5c_rand_butter1,butter,0,random_linf,0,2,90,100,11,105,ok,11,11,0.072198,0,True,False
520031,k5c_rand_oj,orange_juice,1,random_linf,1,0,50,60,11,65,ok,4,2,0.015433,0,True,False
520115,k5c_phys_butter,butter,0,random_linf,0,2,135,145,11,150,ok,0,0,6.4e-05,0,True,False
520073,k5c_cmd_cream,cream_cheese,1,random_linf,1,1,85,95,11,100,ok,3,1,0.01581,0,True,False
520088,k5c_cmd_salad_neg,salad_dressing,1,vis_pgd,1,4,55,65,11,70,ok,5,2,0.002151,0,True,False
520139,k5c_phys_salad,salad_dressing,2,random_linf,2,4,75,85,11,90,ok,0,0,0.029661,0,True,False
520155,k5c_sentinel_milk_gold,milk,0,random_linf,0,2,70,80,11,85,ok,1,1,0.022408,0,True,False
520124,k5c_phys_tomato,tomato_sauce,2,vis_pgd,2,2,85,95,11,100,ok,8,8,0.065355,0,True,False
520097,k5c_cmd_alpha,alphabet_soup,0,random_linf,0,3,65,75,11,80,ok,7,4,0.053707,0,True,False
520010,k5c_rand_butter2,butter,0,vis_pgd,0,0,95,105,11,110,ok,6,5,0.053483,0,True,False
520022,k5c_rand_cream,cream_cheese,2,vis_pgd,2,1,65,75,11,80,ok,4,2,0.014022,0,True,False
520110,k5c_phys_butter,butter,0,vis_pgd,0,0,135,145,11,150,ok,6,6,0.060324,0,True,False
520029,k5c_rand_cream,cream_cheese,2,random_linf,2,4,65,75,11,80,ok,5,5,0.028422,0,True,False
520123,k5c_phys_tomato,tomato_sauce,2,random_linf,2,1,85,95,11,100,ok,0,0,4.8e-05,0,True,False
520013,k5c_rand_butter2,butter,0,random_linf,0,1,95,105,11,110,ok,11,11,0.039087,0,True,False
520025,k5c_rand_cream,cream_cheese,2,random_linf,2,2,65,75,11,80,ok,2,2,0.008693,0,True,False
520095,k5c_cmd_alpha,alphabet_soup,0,random_linf,0,2,65,75,11,80,ok,9,6,0.061649,0,True,False
520040,k5c_rand_alpha,alphabet_soup,0,vis_pgd,0,0,55,65,11,70,ok,3,2,0.010541,0,True,False
520121,k5c_phys_tomato,tomato_sauce,2,random_linf,2,0,85,95,11,100,ok,7,3,0.020541,0,True,False
520020,k5c_rand_cream,cream_cheese,2,vis_pgd,2,0,65,75,11,80,ok,4,2,0.014022,0,True,False
520080,k5c_cmd_salad_neg,salad_dressing,1,vis_pgd,1,0,55,65,11,70,ok,4,2,0.002113,0,True,False
520017,k5c_rand_butter2,butter,0,random_linf,0,3,95,105,11,110,ok,11,11,0.039139,0,True,False
520050,k5c_cmd_tomato_early,tomato_sauce,0,vis_pgd,0,0,50,60,11,65,ok,6,4,0.002967,0,True,False
520132,k5c_phys_salad,salad_dressing,2,vis_pgd,2,1,75,85,11,90,ok,6,3,0.028636,0,True,False
520045,k5c_rand_alpha,alphabet_soup,0,random_linf,0,2,55,65,11,70,ok,0,0,0.003491,0,True,False
520015,k5c_rand_butter2,butter,0,random_linf,0,2,95,105,11,110,ok,11,11,0.039093,0,True,False
520148,k5c_phys_bbq,bbq_sauce,0,vis_pgd,0,4,70,80,11,85,ok,4,2,0.001031,0,True,False
520128,k5c_phys_tomato,tomato_sauce,2,vis_pgd,2,4,85,95,11,100,ok,5,3,0.044094,0,True,False
520091,k5c_cmd_alpha,alphabet_soup,0,random_linf,0,0,65,75,11,80,ok,5,3,0.039957,0,True,False
520143,k5c_phys_bbq,bbq_sauce,0,random_linf,0,1,70,80,11,85,ok,0,0,0.000149,0,True,False
520021,k5c_rand_cream,cream_cheese,2,random_linf,2,0,65,75,11,80,ok,3,2,0.009788,0,True,False
520007,k5c_rand_butter1,butter,0,random_linf,0,3,90,100,11,105,ok,2,1,0.005677,0,True,False
520118,k5c_phys_butter,butter,0,vis_pgd,0,4,135,145,11,150,ok,1,1,0.000187,0,True,False
520002,k5c_rand_butter1,butter,0,vis_pgd,0,1,90,100,11,105,ok,10,10,0.071272,0,True,False
520061,k5c_cmd_milk_neg,milk,0,random_linf,0,0,235,245,11,250,ok,0,0,0.001574,0,True,False
520037,k5c_rand_oj,orange_juice,1,random_linf,1,3,50,60,11,65,ok,6,2,0.016319,0,True,False
520001,k5c_rand_butter1,butter,0,random_linf,0,0,90,100,11,105,ok,11,11,0.072198,0,True,False
520059,k5c_cmd_tomato_early,tomato_sauce,0,random_linf,0,4,50,60,11,65,ok,0,0,0.000323,0,True,False
520146,k5c_phys_bbq,bbq_sauce,0,vis_pgd,0,3,70,80,11,85,ok,1,1,0.000861,0,True,False
520152,k5c_sentinel_milk_gold,milk,0,vis_pgd,0,1,70,80,11,85,ok,7,4,0.04585,0,True,False
520084,k5c_cmd_salad_neg,salad_dressing,1,vis_pgd,1,2,55,65,11,70,ok,5,3,0.002608,0,True,False
520009,k5c_rand_butter1,butter,0,random_linf,0,4,90,100,11,105,ok,11,11,0.072198,0,True,False
520140,k5c_phys_bbq,bbq_sauce,0,vis_pgd,0,0,70,80,11,85,ok,3,1,0.000357,0,True,False
520060,k5c_cmd_milk_neg,milk,0,vis_pgd,0,0,235,245,11,250,ok,11,11,0.071312,0,True,True
520076,k5c_cmd_cream,cream_cheese,1,vis_pgd,1,3,85,95,11,100,ok,5,2,0.016752,0,True,False
520134,k5c_phys_salad,salad_dressing,2,vis_pgd,2,2,75,85,11,90,ok,8,5,0.043171,0,True,False
